store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
811210472678855148,60,0,11.919059535277777,0.0,100.69602227305553,0.0
811902318232224530,60,0,11.286018177222223,0.0,72.23505391166667,0.0
811919176723517720,60,0,10.782980895555557,0.0,-17.031532059444444,-6.769201328611113
812953288352668843,60,0,14.864320735833333,0.0,104.49059675583335,0.0
813285209825358958,60,0,23.88227475,0.0,109.97366434694445,0.0
813383464952749649,60,0,10.857726313055556,0.0,79.60704063472221,0.0
813939041519087274,60,0,8.965389746666666,0.0,53.926800973888895,0.0
814106094786175025,60,0,17.971872361388886,0.0,117.65825695333332,0.0
814285516670824725,60,0,12.951681435277779,0.0,76.19403125027773,0.0
815627275967566024,60,0,9.708512656388887,0.0,61.02753697916668,0.0
815760176960221778,60,0,12.806190565555555,0.0,78.25313106083337,0.0
816558279611975380,60,0,12.959084244166666,0.0,78.77678524277775,0.0
817333862877323541,60,0,23.980444511388896,0.0,145.45358600083333,0.0
817700132037534726,60,0,11.4149516725,0.0,69.6458691672222,0.0
817708990078405575,0,60,0.0,23.924920944444445,89.11201595555555,1723.0075947352784
817726322998385254,0,60,0.0,23.977872996944445,0.0,2639.969444444447
818528518255881937,58.11203515,0,5.981731419722223,0.0,-10.885778573055557,-0.8831829302777785
819095352994081469,52.26235246666667,0,5.795697809722222,0.0,74.93692576583334,0.0
819606800921387224,0,60,0.0,23.97124970583333,0.0,2687.968888888892
820508558273435726,60,0,23.919948228333336,0.0,133.24167308583336,0.0
821097264726623470,58.5672059,0,12.965622177500002,0.0,73.23233848833334,0.0
821262404309567940,60,0,22.947603368888895,0.9952403108333333,146.47249537583326,6.6661168927777785
822111548816704100,0,60,0.0,11.788167492222223,93.09268519583335,264.0
822798563595183308,60,0,7.8796446475,0.0,54.00748118972222,0.0
823293911550154843,60,0,23.981132494166665,0.0,133.33419980138885,0.0
823362366523058169,22.255042500000002,0,0.5,0.0,2.0,0.0
825515643536469484,60,0,16.42042508888889,0.0,87.0734765872222,0.0
825907233913169464,0,60,3.930461868055555,2.8996628261111113,43.50254855333334,48.23965346972223
826382009453770539,60,0,23.981779098333334,0.0,133.44963776888886,0.0
826572836529302826,28.2267404,0,2.476072945277778,0.0,16.119153557222223,0.0
827601020201986063,60,0,11.87689488027778,0.0,66.80179038,0.0
828120331760331407,60,0,23.970691978611114,0.0,137.45628872555557,0.0
828467838130839333,60,0,11.904952683055553,12.079707681944447,43.157409003611114,213.17080592166664
828832235527719781,46.33128271666667,0,2.9000889925,0.0,17.39247959,0.0
829322583666301139,38.57331858333334,0,3.6330697830555554,0.0,21.62781588861111,0.0
832155791732033434,54.760238666666666,0,1.847425576111111,0.0,9.84742557611111,0.0
832383668719873226,0,60,0.0,23.94890294111111,0.0,2711.968611111114
832708516887791034,60,0,13.878705214722222,0.0,96.15537578833333,0.0
832805588784302237,60,0,23.960700387222218,0.0,141.50825337555554,0.0
833633818966117127,60,0,23.950880828055553,0.0,152.26412340277778,0.9502202469444445
835973620560806517,0,60,0.0,9.79798066,0.0,460.0
836212995016020205,0,60,0.0,5.842641712222221,0.0,642.4938888888889
836466127358265431,19.501984233333335,0,2.433796258055556,0.0,22.190330375555558,0.0
837281425604330130,60,0,23.950813596944442,0.0,145.4773045033334,0.0
837348977575209324,26.2195036,0,0.0,0.0,21.255532297500004,29.999444444444446
837699569013981799,60,0,23.979302227777776,0.0,105.58109695944442,695.9919444444441
838810862415746778,60,0,21.767557919999998,2.1826550352777776,142.5829638080555,10.742598931111111
838975604215828311,60,0,23.943005190277777,0.0,137.96339904972217,0.0
839144469176251138,60,0,13.972564666111113,2.0075235405555554,88.04068205194443,11.539868454999999
843685777981830247,60,0,11.983740215555558,12.005113126944446,43.240186978611106,213.0727265522222
844614235408093626,60,0,7.367257577777777,0.0,47.19165132749999,0.0
844639063604853573,0,60,0.0,23.949373472499996,0.0,2639.969444444447
844996215401731128,0,60,0.0,14.336222359444443,0.0,1102.0
845353131761050336,60,0,23.953966930555563,0.0,135.61698234388885,0.0
846113665999561099,60,0,23.971566617222226,0.0,151.5367169527778,1.8979647988888888
846146092682071842,60,0,8.435422828888887,0.0,56.792246663888896,0.0
848554303510377241,60,0,23.987654265833335,0.0,133.46893793583334,0.0
849182365049976050,60,0,23.962313895833333,0.0,132.19624188361112,1.1389205316666666
849398791613243870,57.256081916666666,0,0.9682538252777778,0.0,4.968253825277778,1.0
849523590043996337,60,0,23.891801239722223,0.0,133.20028142888893,0.0
849669130903883218,60,0,9.429328760555556,0.0,57.86905356694445,0.0
850635250020551588,60,0,23.880228277222223,0.0,135.56118562583328,0.0
852513672724603629,53.75411061666667,0,6.810085537222222,0.0,37.91873649916668,0.0
853283511434364740,0,60,0.0,8.88543900027778,0.0,369.0
853631627639834938,60,0,23.880478056111112,0.0,138.14177528527773,0.0
854224455102739323,0,60,0.0,23.946737634722226,83.26054373222217,1699.021059046667
855635002268932462,0,60,0.0,23.979340348611117,0.0,2639.969444444447
856719627986319071,0,53.44538523333333,0.0,2.9691951499999996,17.59834702277778,18.0
856736205609036817,51.43728895,0,1.0,0.0,47.7238352711111,1030.2184914458323
859646658300725213,60,0,4.352810642777778,0.0,122.98949684333333,0.0
860563955861104071,60,0,9.897866040277778,0.0,91.86232843694442,0.0
860640084250305307,48.83446236666667,0,1.0,0.0,122.8520098533333,0.0
860803967841224291,60,0,23.878717286388895,0.0,133.57419344305558,0.0
860810221363020539,60,0,11.373761028333332,0.0,73.24738509611112,0.0
861237731467220595,0,60,0.0,10.841468254722225,210.9489295925,602.9979572405556
861941607778990665,60,0,16.394904989999997,0.0,88.07849578944443,0.0
862017100400172427,51.8953155,0,0.9833333333333333,0.0,3.753594205555556,0.0
862682288742826882,0,60,0.0,5.588173455277778,0.0,141.25
863526188544751621,0,0,0.0,0.0,0.0,0.0
863794542184883067,47.30738465,0,12.802893135,0.0,77.28621466361113,0.0
864127136104098589,60,0,10.83211997611111,0.0,91.12394226527778,0.0
864201814553742806,33.007630983333335,0,4.5447706175,0.0,25.528258853611113,0.0
864427918970858412,60,0,23.867200467500002,0.0,94.67389084805556,0.0
864431652083407397,0,60,0.0,23.969970318055562,0.0,2663.9691666666695
865059064887111297,59.266221316666666,0,0.0,0.0,3.0,0.0
